# InputID	ID	Mag	Magerr	RA	Decl	MJD	Blend
J0228+3953	1140011013334	19.00	0.17	37.04605	39.88512	53643.44079	0
J0228+3953	1140011013334	18.97	0.17	37.04615	39.88497	53790.11118	0
J0228+3953	1140011013334	18.73	0.15	37.04605	39.88530	53790.11598	0
J0228+3953	1140011013334	18.81	0.16	37.04594	39.88521	53790.12077	0
J0228+3953	1140011013334	18.38	0.13	37.04588	39.88480	53790.12558	0
J0228+3953	1140011013334	19.33	0.21	37.04602	39.88477	53765.08870	0
J0228+3953	1140011013334	19.03	0.19	37.04614	39.88532	53765.09642	0
J0228+3953	1140011013334	18.91	0.17	37.04614	39.88534	53765.10415	0
J0228+3953	1140011013334	18.80	0.16	37.04606	39.88480	53765.11191	0
J0228+3953	1140011013334	19.23	0.18	37.04637	39.88503	54059.18602	0
J0228+3953	1140011013334	18.44	0.13	37.04601	39.88529	54059.19275	0
J0228+3953	1140011013334	18.96	0.16	37.04615	39.88517	54059.19963	0
J0228+3953	1140011013334	18.78	0.15	37.04609	39.88472	54059.20658	0
J0228+3953	1140011013334	18.96	0.16	37.04616	39.88526	54452.29356	0
J0228+3953	1140011013334	18.95	0.16	37.04628	39.88503	54452.29965	0
J0228+3953	1140011013334	19.47	0.20	37.04598	39.88517	54452.30577	0
J0228+3953	1140011013334	19.59	0.22	37.04583	39.88501	54452.31184	0
J0228+3953	1140011013334	18.94	0.16	37.04583	39.88485	54408.38518	0
J0228+3953	1140011013334	19.36	0.19	37.04611	39.88519	54408.41116	0
J0228+3953	1140011013334	18.70	0.14	37.04591	39.88509	54408.41696	0
J0228+3953	1140011013334	19.24	0.18	37.04616	39.88492	54408.42280	0
J0228+3953	1140011013334	18.79	0.15	37.04596	39.88515	54389.25300	0
J0228+3953	1140011013334	18.74	0.15	37.04595	39.88531	54389.26195	0
J0228+3953	1140011013334	18.74	0.15	37.04612	39.88513	54389.27094	0
J0228+3953	1140011013334	18.62	0.14	37.04582	39.88508	54389.27997	0
J0228+3953	1140011013334	18.39	0.14	37.04637	39.88506	54537.10481	0
J0228+3953	1140011013334	18.41	0.15	37.04620	39.88539	54537.10686	0
J0228+3953	1140011013334	18.47	0.15	37.04600	39.88516	54537.10891	0
J0228+3953	1140011013334	19.01	0.20	37.04586	39.88485	54537.11095	0
J0228+3953	1140011013334	19.27	0.19	37.04597	39.88512	54793.17454	0
J0228+3953	1140011013334	19.46	0.22	37.04603	39.88470	54793.17816	0
J0228+3953	1140011013334	18.38	0.12	37.04597	39.88506	54770.33906	0
J0228+3953	1140011013334	18.65	0.14	37.04586	39.88518	54770.34510	0
J0228+3953	1140011013334	18.70	0.14	37.04603	39.88543	54770.35115	0
